% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              26741
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
47500           15000          -12800         1294.317095    3.316743e5     2.88512e8
47500           15000          -12600         1293.85608     3.348199e5     2.84004e8
47500           15000          -11400         1288.91676     3.604678e5     2.56956e8
47500           15000          -10600         1284.175059    3.828785e5     2.38924e8
47500           15000          -9700          1277.108771    4.141035e5     2.18638e8
47500           15000          -9300          1272.428754    4.337395e5     2.09622e8
47500           15000          -8700          1263.358611    4.684964e5     1.96098e8
47500           15000          -8300          1255.945105    4.997083e5     1.87082e8
47500           15000          -6300          1190.937778    8.348403e5     1.42002e8
47500           15000          -5700          1158.075905    1.096472e6     1.28478e8
47500           15000          -5300          1131.796108    1.37072e6      1.19462e8
47500           15000          -4700          1083.06588     2.140924e6     1.05938e8
47500           15000          -4600          1073.39242     2.341691e6     1.03684e8
47500           15000          -4500          1063.71896     2.563592e6     1.0143e8
47500           15000          -4400          1054.0455      2.808941e6     9.9176e7
47500           15000          -4300          1044.37204     3.080278e6     9.6922e7
47500           15000          -4200          1034.698581    3.380378e6     9.4668e7
47500           15000          -4100          1025.025121    3.712256e6     9.2414e7
47500           15000          -4000          1015.351661    4.073821e6     9.016e7
47500           15000          -3900          1001.296697    4.675735e6     8.7906e7
47500           15000          -3800          987.241733     5.378456e6     8.5652e7
47500           15000          -3700          973.18677      6.189818e6     8.3398e7
47500           15000          -3600          959.131806     7.123468e6     8.1144e7
47500           15000          -3500          945.076842     8.19279e6      7.889e7
47500           15000          -3200          902.911951     1.231799e7     7.2128e7
47500           15000          -16400         1298.996488    2.874557e5     3.69656e8
47500           15000          -31000         1299.99465     1.954091e5     6.9874e8
47500           15000          -30500         1299.993785    1.970306e5     6.8747e8
47500           15000          -30000         1299.99292     2.011719e5     6.762e8
47500           15000          -29500         1299.996087    2.058697e5     6.6493e8
47500           15000          -29000         1299.999254    2.079779e5     6.5366e8
47500           15000          -28000         1300.005589    2.12077e5      6.3112e8
47500           15000          -27500         1300.008756    2.140693e5     6.1985e8
47500           15000          -27000         1300.011924    2.160249e5     6.0858e8
47500           15000          -26000         1300.018259    2.198295e5     5.8604e8
47500           15000          -25500         1300.021426    2.216806e5     5.7477e8
47500           15000          -25000         1300.024593    2.265766e5     5.635e8
47500           15000          -24500         1300.004875    2.322829e5     5.5223e8
47500           15000          -24000         1299.985158    2.348755e5     5.4096e8
47500           15000          -23000         1299.945722    2.399456e5     5.1842e8
47500           15000          -22500         1299.926004    2.424211e5     5.0715e8
47500           15000          -12400         1293.395065    3.379798e5     2.79496e8
47500           15000          -12200         1292.93405     3.411521e5     2.74988e8
47500           15000          -12000         1292.473035    3.444543e5     2.7048e8
47500           15000          -11800         1291.28761     3.497769e5     2.65972e8
47500           15000          -11600         1290.102185    3.550765e5     2.61464e8
47500           15000          -11200         1287.731335    3.65947e5      2.52448e8
47500           15000          -11000         1286.545909    3.715104e5     2.4794e8
47500           15000          -10800         1285.360484    3.771552e5     2.43432e8
47500           15000          -10400         1282.989634    3.886779e5     2.34416e8
47500           15000          -10200         1281.804209    3.945512e5     2.29908e8
47500           15000          -10000         1280.618784    4.002616e5     2.254e8
47500           15000          -9900          1279.44878     4.046574e5     2.23146e8
47500           15000          -9800          1278.278775    4.093497e5     2.20892e8
47500           15000          -9600          1275.938767    4.189192e5     2.16384e8
47500           15000          -9500          1274.768762    4.237969e5     2.1413e8
47500           15000          -9400          1273.598758    4.287369e5     2.11876e8
47500           15000          -9200          1271.258749    4.38805e5      2.07368e8
47500           15000          -9100          1270.088745    4.439336e5     2.05114e8
47500           15000          -9000          1268.918741    4.478291e5     2.0286e8
47500           15000          -8900          1267.065364    4.537209e5     2.00606e8
47500           15000          -8800          1265.211988    4.610415e5     1.98352e8
47500           15000          -8600          1261.505235    4.760881e5     1.93844e8
47500           15000          -8500          1259.651858    4.83819e5      1.9159e8
47500           15000          -8400          1257.798482    4.916916e5     1.89336e8
47500           15000          -8200          1254.091729    5.078718e5     1.84828e8
47500           15000          -8100          1252.238353    5.161847e5     1.82574e8
47500           15000          -8000          1250.384976    5.227705e5     1.8032e8
47500           15000          -7900          1247.509062    5.33002e5      1.78066e8
47500           15000          -7800          1244.633148    5.454384e5     1.75812e8
47500           15000          -7700          1241.757234    5.582103e5     1.73558e8
47500           15000          -7300          1230.253578    6.128557e5     1.64542e8
47500           15000          -6100          1182.169762    8.968987e5     1.37494e8
47500           15000          -6000          1177.785754    9.30891e5      1.3524e8
47500           15000          -5900          1171.215804    9.833453e5     1.32986e8
47500           15000          -5800          1164.645855    1.038134e6     1.30732e8
47500           15000          -5600          1151.505956    1.158615e6     1.26224e8
47500           15000          -5500          1144.936007    1.224837e6     1.2397e8
47500           15000          -5400          1138.366057    1.295433e6     1.21716e8
47500           15000          -5200          1125.226158    1.451038e6     1.17208e8
47500           15000          -5100          1118.656209    1.536752e6     1.14954e8
47500           15000          -5000          1112.08626     1.636845e6     1.127e8
47500           15000          -4900          1102.4128      1.7946e6       1.10446e8
47500           15000          -4800          1092.73934     1.959193e6     1.08192e8
47500           15000          -22000         1299.906286    2.448565e5     4.9588e8
47500           15000          -20500         1299.847133    2.519238e5     4.6207e8
47500           15000          -20000         1299.827415    2.582541e5     4.508e8
47500           15000          -19800         1299.800075    2.635018e5     4.46292e8
47500           15000          -18600         1299.636036    2.705671e5     4.19244e8
47500           15000          -17400         1299.344943    2.803191e5     3.92196e8
47500           15000          -17200         1299.275252    2.817518e5     3.87688e8
47500           15000          -17000         1299.205561    2.831823e5     3.8318e8
47500           15000          -16800         1299.13587     2.846101e5     3.78672e8
47500           15000          -21000         1299.866851    2.496074e5     4.7334e8
47500           15000          -19600         1299.772735    2.646922e5     4.41784e8
47500           15000          -19400         1299.745395    2.658777e5     4.37276e8
47500           15000          -7600          1238.88132     5.713276e5     1.71304e8
47500           15000          -7500          1236.005406    5.848004e5     1.6905e8
47500           15000          -7400          1233.129492    5.986395e5     1.66796e8
47500           15000          -6700          1208.473811    7.250169e5     1.51018e8
47500           15000          -6600          1204.089803    7.508173e5     1.48764e8
47500           15000          -6500          1199.705795    7.776879e5     1.4651e8
47500           15000          -6400          1195.321787    8.056783e5     1.44256e8
47500           15000          -6200          1186.55377     8.65228e5      1.39748e8
